[11:42:05] Мережа: Відключено | Сигнал: 0%
[11:42:10] Мережа: Відключено | Сигнал: 0%
[11:42:15] Мережа: Відключено | Сигнал: 0%
[11:42:20] Мережа: Відключено | Сигнал: 0%
[11:42:25] Мережа: Відключено | Сигнал: 0%
[11:42:30] Мережа: Відключено | Сигнал: 0%
[11:42:35] Мережа: Відключено | Сигнал: 0%
[11:42:45] Мережа: Відключено | Сигнал: 0%
[11:42:50] Мережа: Відключено | Сигнал: 0%
[11:42:55] Мережа: Відключено | Сигнал: 0%
[11:43:00] Мережа: Відключено | Сигнал: 0%
[11:43:05] Мережа: Відключено | Сигнал: 0%
[11:43:10] Мережа: Відключено | Сигнал: 0%
[11:43:15] Мережа: Відключено | Сигнал: 0%
[11:43:20] Мережа: Відключено | Сигнал: 0%
[11:43:25] Мережа: Відключено | Сигнал: 0%
[11:43:30] Мережа: Відключено | Сигнал: 0%
[11:43:35] Мережа: Відключено | Сигнал: 0%
[11:43:40] Мережа: Відключено | Сигнал: 0%
[11:43:45] Мережа: Відключено | Сигнал: 0%
[11:43:50] Мережа: Відключено | Сигнал: 0%
[11:43:55] Мережа: Відключено | Сигнал: 0%
[11:44:00] Мережа: Відключено | Сигнал: 0%
[11:44:05] Мережа: Відключено | Сигнал: 0%
[11:44:10] Мережа: Відключено | Сигнал: 0%
[11:44:15] Мережа: Відключено | Сигнал: 0%
[11:44:20] Мережа: Відключено | Сигнал: 0%
[11:44:25] Мережа: Відключено | Сигнал: 0%
[11:44:30] Мережа: Відключено | Сигнал: 0%
[11:44:35] Мережа: Помилка | Сигнал: 0%
[11:44:40] Мережа: Помилка | Сигнал: 0%
[11:44:45] Мережа: Помилка | Сигнал: 0%
[11:44:50] Мережа: Помилка | Сигнал: 0%
[11:44:55] Мережа: Помилка | Сигнал: 0%
[11:45:00] Мережа: Помилка | Сигнал: 0%
[11:45:05] Мережа: Помилка | Сигнал: 0%
[11:45:10] Мережа: Помилка | Сигнал: 0%
[11:45:15] Мережа: Помилка | Сигнал: 0%
